Date,Total_Demand
2015-11-18,76000.0
2015-11-19,14800.0
2015-11-20,139500.0
2015-11-24,136300.0
2015-11-25,27800.0
2015-11-26,178500.0
2015-11-27,109200.0
2015-11-30,162000.0
2015-12-01,62500.0
2015-12-02,188000.0
2015-12-03,93300.0
2015-12-04,96500.0
2015-12-07,60000.0
2015-12-08,132200.0
2015-12-09,160000.0
2015-12-10,21000.0
2015-12-11,66100.0
2015-12-14,224200.0
2015-12-15,74000.0
2015-12-16,27000.0
2015-12-17,236700.0
2015-12-18,153200.0
2015-12-21,91100.0
2015-12-22,120600.0
2015-12-24,37800.0
2015-12-25,246300.0
2015-12-28,29000.0
2016-01-05,85800.0
2016-01-06,93600.0
2016-01-07,93000.0
2016-01-08,116000.0
2016-01-12,107700.0
2016-01-13,142700.0
2016-01-14,198600.0
2016-01-15,62300.0
2016-01-18,232000.0
2016-01-19,211000.0
2016-01-20,40000.0
2016-01-21,127500.0
2016-01-22,82500.0
2016-01-25,64500.0
2016-01-26,130900.0
2016-01-27,58300.0
2016-01-28,40500.0
2016-01-29,36600.0
2016-02-01,191000.0
2016-02-02,95700.0
2016-02-03,36500.0
2016-02-04,57500.0
2016-02-05,34000.0
2016-02-08,124200.0
2016-02-09,252500.0
2016-02-10,132000.0
2016-02-12,124800.0
2016-02-15,140000.0
2016-02-16,79300.0
2016-02-17,67700.0
2016-02-18,28800.0
2016-02-19,29000.0
2016-02-22,95200.0
2016-02-23,65000.0
2016-02-24,84500.0
2016-02-25,129600.0
2016-02-26,38000.0
2016-02-29,60600.0
2016-03-01,325000.0
2016-03-02,206800.0
2016-03-03,239800.0
2016-03-04,254300.0
2016-03-07,51000.0
2016-03-08,109500.0
2016-03-09,94100.0
2016-03-10,57800.0
2016-03-11,73400.0
2016-03-14,2000.0
2016-03-15,187000.0
2016-03-16,80000.0
2016-03-17,20100.0
2016-03-18,41500.0
2016-03-22,62200.0
2016-03-23,100700.0
2016-03-24,86000.0
2016-03-25,119600.0
2016-03-28,90200.0
2016-03-29,96000.0
